Sample in Buffer,Sample in Window,TRIGGER,w_noise[7:0]
147,147,0,8
148,148,0,19
149,149,0,39
150,150,0,14
151,151,0,-35
152,152,0,-4
153,153,0,-69
154,154,0,-8
155,155,0,51
156,156,0,41
157,157,0,20
158,158,0,-21
159,159,0,24
160,160,0,-15
161,161,0,-26
162,162,0,14
163,163,0,-33
164,164,0,1
165,165,0,68
166,166,0,-55
167,167,0,21
168,168,0,-21
169,169,0,-42
170,170,0,-17
171,171,0,33
172,172,0,-61
173,173,0,6
174,174,0,79
175,175,0,-33
176,176,0,-64
177,177,0,3
178,178,0,71
179,179,0,-47
180,180,0,37
181,181,0,12
182,182,0,-37
183,183,0,54
184,184,0,-18
185,185,0,-32
186,186,0,1
187,187,0,-60
188,188,0,74
189,189,0,21
190,190,0,-85
191,191,0,23
192,192,0,-15
193,193,0,-28
194,194,0,11
195,195,0,24
196,196,0,52
197,197,0,-21
198,198,0,24
199,199,0,-16
200,200,0,34
201,201,0,-57
202,202,0,-47
203,203,0,-28
204,204,0,72
205,205,0,16
206,206,0,-31
207,207,0,-60
208,208,0,-53
209,209,0,24
210,210,0,49
211,211,0,35
212,212,0,9
213,213,0,-46
214,214,0,-26
215,215,0,14
216,216,0,29
217,217,0,-67
218,218,0,60
219,219,0,-5
220,220,0,-7
221,221,0,52
222,222,0,-23
223,223,0,21
224,224,0,-19
225,225,0,-35
226,226,0,-4
227,227,0,56
228,228,0,-13
229,229,0,-24
230,230,0,-45
231,231,0,-23
232,232,0,84
233,233,0,-20
234,234,0,28
235,235,0,-6
236,236,0,-10
237,237,0,46
238,238,0,-32
239,239,0,-61
240,240,0,8
241,241,0,19
242,242,0,39
243,243,0,-48
244,244,0,-32
245,245,0,3
246,246,0,-56
247,247,0,17
248,248,0,-28
249,249,0,75
250,250,0,-40
251,251,0,-15
252,252,0,37
253,253,0,12
254,254,0,-37
255,255,0,-8
256,256,0,51
257,257,0,-24
258,258,0,16
259,259,0,-30
260,260,0,7
261,261,0,-48
262,262,0,-29
263,263,0,71
264,264,0,16
265,265,0,-30
266,266,0,6
267,267,0,-49
268,268,0,33
269,269,0,4
270,270,0,10
271,271,0,22
272,272,0,-18
273,273,0,-36
274,274,0,-4
275,275,0,-6
276,276,0,-9
277,277,0,-16
278,278,0,99
279,279,0,-56
280,280,0,18
281,281,0,-25
282,282,0,16
283,283,0,-29
284,284,0,7
285,285,0,16
286,286,0,-29
287,287,0,9
288,288,0,-44
289,289,0,41
290,290,0,20
291,291,0,-22
292,292,0,-43
293,293,0,-21
294,294,0,24
295,295,0,-13
296,296,0,-23
297,297,0,21
298,298,0,46
299,299,0,29
300,300,0,-5
301,301,0,-7
302,302,0,-11
303,303,0,-84
304,304,0,26
305,305,0,55
306,306,0,-18
307,307,0,-34
308,308,0,-2
309,309,0,-1
310,310,0,-62
311,311,0,71
312,312,0,15
313,313,0,32
314,314,0,1
315,315,0,-59
316,316,0,-52
317,317,0,27
318,318,0,-7
319,319,0,51
320,320,0,-23
321,321,0,19
322,322,0,-24
323,323,0,-45
324,324,0,39
325,325,0,-48
326,326,0,32
327,327,0,2
328,328,0,-59
329,329,0,14
330,330,0,-34
331,331,0,62
332,332,0,-3
333,333,0,59
334,334,0,-73
335,335,0,-15
336,336,0,-28
337,337,0,10
338,338,0,22
339,339,0,45
340,340,0,-36
341,341,0,-6
342,342,0,-11
343,343,0,-21
344,344,0,22
345,345,0,-19
346,346,0,-37
347,347,0,-8
348,348,0,-14
349,349,0,37
350,350,0,13
351,351,0,26
352,352,0,-11
353,353,0,-18
354,354,0,29
355,355,0,-67
356,356,0,59
357,357,0,58
358,358,0,-74
359,359,0,46
360,360,0,-33
361,361,0,62
362,362,0,-66
363,363,0,-2
364,364,0,-2
365,365,0,-66
366,366,0,61
367,367,0,-5
368,368,0,-8
369,369,0,-14
370,370,0,-26
371,371,0,14
372,372,0,29
373,373,0,-3
374,374,0,-5
375,375,0,-8
376,376,0,-15
377,377,0,37
378,378,0,-51
379,379,0,27
380,380,0,-9
381,381,0,46
382,382,0,-34
383,383,0,-66
384,384,0,-3
385,385,0,-5
386,386,0,56
387,387,0,-13
388,388,0,-25
389,389,0,16
390,390,0,34
391,391,0,6
392,392,0,-51
393,393,0,29
394,394,0,-2
395,395,0,-3
396,396,0,-4
397,397,0,58
398,398,0,-10
399,399,0,-82
400,400,0,29
401,401,0,-2
402,402,0,-3
403,403,0,-3
404,404,0,-6
405,405,0,55
406,406,0,-79
407,407,0,36
408,408,0,-55
409,409,0,85
410,410,0,-21
411,411,0,-40
412,412,0,-13
413,413,0,39
414,414,0,-46
415,415,0,37
416,416,0,14
417,417,0,-34
418,418,0,62
419,419,0,-67
420,420,0,60
421,421,0,-70
422,422,0,-9
423,423,0,-17
424,424,0,31
425,425,0,-1
426,426,0,1
427,427,0,-59
428,428,0,12
429,429,0,28
430,430,0,57
431,431,0,-14
432,432,0,-28
433,433,0,10
434,434,0,-106
435,435,0,-18
436,436,0,30
437,437,0,62
438,438,0,-1
439,439,0,-1
440,440,0,0
441,441,0,4
442,442,0,11
443,443,0,-41
444,444,0,49
445,445,0,37
446,446,0,-52
447,447,0,-38
448,448,0,55
449,449,0,-16
450,450,0,-30
451,451,0,5
452,452,0,12
453,453,0,-38
454,454,0,-9
455,455,0,-16
456,456,0,35
457,457,0,8
458,458,0,19
459,459,0,-24
460,460,0,19
461,461,0,-24
462,462,0,17
463,463,0,-27
464,464,0,10
465,465,0,-43
466,466,0,-18
467,467,0,31
468,468,0,-63
469,469,0,67
470,470,0,71
471,471,0,-48
472,472,0,-30
473,473,0,-59
474,474,0,12
475,475,0,27
476,476,0,-7
477,477,0,-12
478,478,0,43
479,479,0,25
480,480,0,-11
481,481,0,-21
482,482,0,24
483,483,0,-15
484,484,0,-28
485,485,0,-53
486,486,0,24
487,487,0,-13
488,488,0,40
489,489,0,17
490,490,0,-29
491,491,0,10
492,492,0,-44
493,493,0,-22
494,494,0,23
495,495,0,49
496,496,0,-91
497,497,0,75
498,498,0,22
499,499,0,-19
500,500,0,-37
501,501,0,-73
502,502,0,-15
503,503,0,38
504,504,0,14
505,505,0,30
506,506,0,62
507,507,0,0
508,508,0,-61
509,509,0,8
510,510,0,17
511,511,0,35
512,512,0,-55
513,513,0,-44
514,514,0,-22
515,515,0,21
516,516,0,44
517,517,0,-38
518,518,0,-9
519,519,0,-17
520,520,0,31
521,521,0,-1
522,522,0,-1
523,523,0,-64
524,524,0,1
525,525,0,5
526,526,0,12
527,527,0,25
528,528,0,-12
529,529,0,43
530,530,0,-40
531,531,0,-13
532,532,0,39
533,533,0,17
534,534,0,-27
535,535,0,11
536,536,0,-39
537,537,0,52
538,538,0,-20
539,539,0,-38
540,540,0,54
541,541,0,-17
542,542,0,33
543,543,0,-59
544,544,0,11
545,545,0,25
546,546,0,-14
547,547,0,-26
548,548,0,-50
549,549,0,31
550,550,0,-64
551,551,0,68
552,552,0,9
553,553,0,21
554,554,0,-21
555,555,0,24
556,556,0,-76
557,557,0,40
558,558,0,-47
559,559,0,36
560,560,0,10
561,561,0,-107
562,562,0,45
563,563,0,27
564,564,0,-7
565,565,0,-13
566,566,0,41
567,567,0,-45
568,568,0,40
569,569,0,-46
570,570,0,38
571,571,0,-49
572,572,0,31
573,573,0,0
574,574,0,2
575,575,0,4
576,576,0,-54
577,577,0,23
578,578,0,-17
579,579,0,-31
580,580,0,68
581,581,0,11
582,582,0,-39
583,583,0,50
584,584,0,-26
585,585,0,14
586,586,0,-34
587,587,0,-67
588,588,0,60
589,589,0,-5
590,590,0,-10
591,591,0,-18
592,592,0,30
593,593,0,-2
594,594,0,-66
595,595,0,63
596,596,0,0
597,597,0,3
598,598,0,8
599,599,0,18
600,600,0,-27
601,601,0,14
602,602,0,-32
603,603,0,4
604,604,0,10
605,605,0,84
606,606,0,-22
607,607,0,-42
608,608,0,-82
609,609,0,-34
610,610,0,61
611,611,0,-5
612,612,0,-9
613,613,0,-16
614,614,0,-29
615,615,0,9
616,616,0,21
617,617,0,44
618,618,0,28
619,619,0,-6
620,620,0,-10
621,621,0,-19
622,622,0,28
623,623,0,-70
624,624,0,-12
625,625,0,-22
626,626,0,22
627,627,0,-17
628,628,0,-33
629,629,0,66
630,630,0,8
631,631,0,18
632,632,0,-24
633,633,0,81
634,634,0,-28
635,635,0,-52
636,636,0,25
637,637,0,-76
638,638,0,41
639,639,0,19
640,640,0,-87
641,641,0,21
642,642,0,-20
643,643,0,26
644,644,0,55
645,645,0,-17
646,646,0,-32
647,647,0,3
648,648,0,8
649,649,0,-47
650,650,0,36
651,651,0,10
652,652,0,-42
653,653,0,-17
654,654,0,31
655,655,0,0
656,656,0,0
657,657,0,2
658,658,0,-59
659,659,0,12
660,660,0,-40
661,661,0,51
662,662,0,-24
663,663,0,19
664,664,0,-23
665,665,0,82
666,666,0,-27
667,667,0,12
668,668,0,-37
669,669,0,-72
670,670,0,49
671,671,0,37
672,672,0,14
673,673,0,-33
674,674,0,-1
675,675,0,64
676,676,0,4
677,677,0,-53
678,678,0,-39
679,679,0,52
680,680,0,41
681,681,0,-42
682,682,0,-18
683,683,0,-35
684,684,0,-5
685,685,0,55
686,686,0,-79
687,687,0,-27
688,688,0,12
689,689,0,28
690,690,0,58
691,691,0,-10
692,692,0,-17
693,693,0,33
694,694,0,-59
695,695,0,13
696,696,0,27
697,697,0,-9
698,698,0,-16
699,699,0,-29
700,700,0,-57
701,701,0,15
702,702,0,33
703,703,0,4
704,704,0,-56
705,705,0,18
706,706,0,36
707,707,0,-53
708,708,0,-40
709,709,0,50
710,710,0,-27
711,711,0,77
712,712,0,-36
713,713,0,-6
714,714,0,-11
715,715,0,43
716,716,0,-39
717,717,0,-13
718,718,0,-23
719,719,0,19
720,720,0,39
721,721,0,-48
722,722,0,35
723,723,0,-56
724,724,0,18
725,725,0,39
726,726,0,14
727,727,0,-35
728,728,0,-4
729,729,0,-6
730,730,0,-74
731,731,0,45
732,732,0,27
733,733,0,-9
734,734,0,-16
735,735,0,-30
736,736,0,7
737,737,0,16
738,738,0,33
739,739,0,3
740,740,0,10
741,741,0,-41
742,742,0,-15
743,743,0,36
744,744,0,73
745,745,0,-43
746,746,0,-20
747,747,0,-38
748,748,0,-9
749,749,0,47
750,750,0,-32
751,751,0,1
752,752,0,4
753,753,0,-55
754,754,0,19
755,755,0,-24
756,756,0,20
757,757,0,-21
758,758,0,24
759,759,0,51
760,760,0,42
761,761,0,-43
762,762,0,-21
763,763,0,25
764,764,0,-13
765,765,0,-86
766,766,0,23
767,767,0,48
768,768,0,-31
769,769,0,69
770,770,0,-53
771,771,0,-41
772,772,0,-15
773,773,0,37
774,774,0,-54
775,775,0,23
776,776,0,49
777,777,0,-28
778,778,0,-54
779,779,0,87
780,780,0,-16
781,781,0,-30
782,782,0,6
783,783,0,12
784,784,0,-37
785,785,0,-9
786,786,0,-17
787,787,0,-31
788,788,0,68
789,789,0,-53
790,790,0,24
791,791,0,50
792,792,0,-25
793,793,0,17
794,794,0,-29
795,795,0,7
796,796,0,16
797,797,0,-29
798,798,0,-57
799,799,0,15
800,800,0,32
801,801,0,2
802,802,0,-59
803,803,0,12
804,804,0,25
805,805,0,-10
806,806,0,-19
807,807,0,29
808,808,0,-5
809,809,0,56
810,810,0,-78
811,811,0,36
812,812,0,-54
813,813,0,22
814,814,0,-17
815,815,0,-32
816,816,0,66
817,817,0,8
818,818,0,19
819,819,0,-23
820,820,0,20
821,821,0,40
822,822,0,-44
823,823,0,-22
824,824,0,-42
825,825,0,-17
826,826,0,97
827,827,0,-60
828,828,0,9
829,829,0,19
830,830,0,-23
831,831,0,-44
832,832,0,-22
833,833,0,22
834,834,0,45
835,835,0,-35
836,836,0,-5
837,837,0,-7
838,838,0,-12
839,839,0,43
840,840,0,-39
841,841,0,52
842,842,0,-22
843,843,0,22
844,844,0,-18
845,845,0,-34
846,846,0,-3
847,847,0,-4
848,848,0,-5
849,849,0,-7
850,850,0,-11
851,851,0,43
852,852,0,24
853,853,0,-12
854,854,0,-22
855,855,0,-42
856,856,0,47
857,857,0,33
858,858,0,-59
859,859,0,12
860,860,0,25
861,861,0,-11
862,862,0,-19
863,863,0,-37
864,864,0,-9
865,865,0,47
866,866,0,-32
867,867,0,-61
868,868,0,9
869,869,0,20
870,870,0,41
871,871,0,19
872,872,0,-25
873,873,0,-46
874,874,0,-26
875,875,0,14
876,876,0,28
877,877,0,58
878,878,0,-72
879,879,0,-15
880,880,0,-29
881,881,0,72
882,882,0,18
883,883,0,-90
884,884,0,13
885,885,0,30
886,886,0,-3
887,887,0,-2
888,888,0,-1
889,889,0,63
890,890,0,-65
891,891,0,65
892,892,0,-59
893,893,0,-53
894,894,0,25
895,895,0,52
896,896,0,-23
897,897,0,-44
898,898,0,44
899,899,0,-37
900,900,0,-8
901,901,0,49
902,902,0,35
903,903,0,-56
904,904,0,-45
905,905,0,-23
906,906,0,20
907,907,0,42
908,908,0,21
909,909,0,-19
910,910,0,-34
911,911,0,0
912,912,0,2
913,913,0,69
914,914,0,10
915,915,0,-43
916,916,0,-83
917,917,0,-37
918,918,0,-7
919,919,0,53
920,920,0,44
921,921,0,-38
922,922,0,53
923,923,0,-21
924,924,0,-39
925,925,0,-12
926,926,0,-22
927,927,0,23
928,928,0,48
929,929,0,-30
930,930,0,7
931,931,0,15
932,932,0,-31
933,933,0,2
934,934,0,5
935,935,0,-50
936,936,0,29
937,937,0,-69
938,938,0,56
939,939,0,51
940,940,0,-87
941,941,0,21
942,942,0,45
943,943,0,27
944,944,0,-8
945,945,0,-14
946,946,0,-25
947,947,0,-50
948,948,0,31
949,949,0,-1
950,950,0,0
951,951,0,-61
952,952,0,74
953,953,0,-43
954,954,0,43
955,955,0,22
956,956,0,-18
957,957,0,-100
958,958,0,-5
959,959,0,-9
960,960,0,47
961,961,0,-32
962,962,0,64
963,963,0,-62
964,964,0,6
965,965,0,15
966,966,0,-32
967,967,0,66
968,968,0,6
969,969,0,13
970,970,0,-36
971,971,0,-6
972,972,0,-11
973,973,0,-21
974,974,0,24
975,975,0,-14
976,976,0,-27
977,977,0,11
978,978,0,24
979,979,0,-14
980,980,0,-26
981,981,0,14
982,982,0,31
983,983,0,0
984,984,0,2
985,985,0,5
986,986,0,12
987,987,0,-39
988,988,0,-11
989,989,0,-21
990,990,0,26
991,991,0,-8
992,992,0,49
993,993,0,-27
994,994,0,76
995,995,0,-37
996,996,0,-71
997,997,0,54
998,998,0,-17
999,999,0,30
1000,1000,0,-4
1001,1001,0,-7
1002,1002,0,-75
1003,1003,0,-85
1004,1004,0,25
1005,1005,0,54
1006,1006,0,46
1007,1007,0,-35
1008,1008,0,62
1009,1009,0,-2
1010,1010,0,-67
1011,1011,0,-4
1012,1012,0,58
1013,1013,0,-74
1014,1014,0,-18
1015,1015,0,29
1016,1016,0,-3
1017,1017,0,-5
1018,1018,0,-8
1019,1019,0,-13
1020,1020,0,41
1021,1021,0,-44
1022,1022,0,42
1023,1023,0,21
1024,1024,0,-19
1025,1025,0,-35
1026,1026,0,-6
1027,1027,0,-11
1028,1028,0,42
1029,1029,0,-41
1030,1030,0,-78
1031,1031,0,38
1032,1032,0,15
1033,1033,0,96
1034,1034,0,1
1035,1035,0,-60
1036,1036,0,9
1037,1037,0,-44
1038,1038,0,-21
1039,1039,0,25
1040,1040,0,-11
1041,1041,0,44
1042,1042,0,26
1043,1043,0,-8
1044,1044,0,-12
1045,1045,0,-23
1046,1046,0,20
1047,1047,0,42
1048,1048,0,-41
1049,1049,0,-81
1050,1050,0,33
1051,1051,0,5
1052,1052,0,12
1053,1053,0,-36
1054,1054,0,59
1055,1055,0,-8
1056,1056,0,-14
1057,1057,0,39
1058,1058,0,-48
1059,1059,0,-31
1060,1060,0,4
1061,1061,0,12
1062,1062,0,-37
1063,1063,0,-9
1064,1064,0,46
1065,1065,0,30
1066,1066,0,-67
1067,1067,0,-68
1068,1068,0,-7
1069,1069,0,53
1070,1070,0,-19
1071,1071,0,27
1072,1072,0,-9
1073,1073,0,48
1074,1074,0,-30
1075,1075,0,-58
1076,1076,0,13
1077,1077,0,28
1078,1078,0,-6
1079,1079,0,-11
1080,1080,0,-20
1081,1081,0,26
1082,1082,0,-9
1083,1083,0,-14
1084,1084,0,39
1085,1085,0,16
1086,1086,0,33
1087,1087,0,5
1088,1088,0,-52
1089,1089,0,-37
1090,1090,0,-8
1091,1091,0,50
1092,1092,0,-25
1093,1093,0,16
1094,1094,0,-30
1095,1095,0,7
1096,1096,0,15
1097,1097,0,-31
1098,1098,0,3
1099,1099,0,9
1100,1100,0,-46
1101,1101,0,38
1102,1102,0,-51
1103,1103,0,28
1104,1104,0,-70
1105,1105,0,54
1106,1106,0,-19
1107,1107,0,29
1108,1108,0,-3
1109,1109,0,-4
1110,1110,0,-6
1111,1111,0,54
1112,1112,0,-16
1113,1113,0,-30
1114,1114,0,8
1115,1115,0,18
1116,1116,0,37
1117,1117,0,-52
1118,1118,0,28
1119,1119,0,-68
1120,1120,0,-7
1121,1121,0,53
1122,1122,0,43
1123,1123,0,-41
1124,1124,0,-81
1125,1125,0,31
1126,1126,0,-65
1127,1127,0,0
1128,1128,0,4
1129,1129,0,10
1130,1130,0,22
1131,1131,0,47
1132,1132,0,33
1133,1133,0,-59
1134,1134,0,12
1135,1135,0,26
1136,1136,0,-8
1137,1137,0,-16
1138,1138,0,-30
1139,1139,0,5
1140,1140,0,12
1141,1141,0,-102
1142,1142,0,55
1143,1143,0,-18
1144,1144,0,31
1145,1145,0,0
1146,1146,0,1
1147,1147,0,-60
1148,1148,0,74
1149,1149,0,-42
1150,1150,0,-18
1151,1151,0,32
1152,1152,0,1
1153,1153,0,3
1154,1154,0,7
1155,1155,0,15
1156,1156,0,-96
1157,1157,0,3
1158,1158,0,8
1159,1159,0,18
1160,1160,0,38
1161,1161,0,15
1162,1162,0,-31
1163,1163,0,6
1164,1164,0,14
1165,1165,0,29
1166,1166,0,-4
1167,1167,0,-6
1168,1168,0,-73
1169,1169,0,-15
1170,1170,0,37
1171,1171,0,12
1172,1172,0,26
1173,1173,0,-10
1174,1174,0,-16
1175,1175,0,-29
1176,1176,0,9
1177,1177,0,20
1178,1178,0,43
1179,1179,0,-40
1180,1180,0,-16
1181,1181,0,-30
1182,1182,0,6
1183,1183,0,-51
1184,1184,0,-37
1185,1185,0,56
1186,1186,0,-13
1187,1187,0,-25
1188,1188,0,17
1189,1189,0,38
1190,1190,0,15
1191,1191,0,-30
1192,1192,0,71
1193,1193,0,18
1194,1194,0,-27
1195,1195,0,13
1196,1196,0,-35
1197,1197,0,-5
1198,1198,0,-74
1199,1199,0,48
1200,1200,0,-30
1201,1201,0,-59
1202,1202,0,12
1203,1203,0,92
1204,1204,0,-70
1205,1205,0,-9
1206,1206,0,48
1207,1207,0,33
1208,1208,0,-61
1209,1209,0,6
1210,1210,0,-50
1211,1211,0,-34
1212,1212,0,-3
1213,1213,0,-5
1214,1214,0,56
1215,1215,0,-15
1216,1216,0,-29
1217,1217,0,6
1218,1218,0,14
1219,1219,0,-34
1220,1220,0,-1
1221,1221,0,1
1222,1222,0,68
1223,1223,0,11
1224,1224,0,24
1225,1225,0,-14
1226,1226,0,-27
1227,1227,0,11
1228,1228,0,-40
1229,1229,0,-14
1230,1230,0,-25
1231,1231,0,15
1232,1232,0,33
1233,1233,0,4
1234,1234,0,11
1235,1235,0,-40
1236,1236,0,50
1237,1237,0,-26
1238,1238,0,13
1239,1239,0,-36
1240,1240,0,-7
1241,1241,0,-11
1242,1242,0,-20
1243,1243,0,25
1244,1244,0,-12
1245,1245,0,42
1246,1246,0,-44
1247,1247,0,-23
1248,1248,0,19
1249,1249,0,-24
1250,1250,0,-46
1251,1251,0,40
1252,1252,0,18
1253,1253,0,36
1254,1254,0,9
1255,1255,0,20
1256,1256,0,-85
1257,1257,0,-39
1258,1258,0,52
1259,1259,0,41
1260,1260,0,18
1261,1261,0,-26
1262,1262,0,-50
1263,1263,0,-34
1264,1264,0,-3
1265,1265,0,60
1266,1266,0,-7
1267,1267,0,-11
1268,1268,0,-21
1269,1269,0,24
1270,1270,0,-14
1271,1271,0,38
1272,1272,0,-49
1273,1273,0,32
1274,1274,0,4
1275,1275,0,11
1276,1276,0,24
1277,1277,0,-14
1278,1278,0,39
1279,1279,0,-47
1280,1280,0,-28
1281,1281,0,9
1282,1282,0,21
1283,1283,0,-19
1284,1284,0,-37
1285,1285,0,-9
1286,1286,0,49
1287,1287,0,-27
1288,1288,0,-53
1289,1289,0,23
1290,1290,0,48
1291,1291,0,-29
1292,1292,0,-57
1293,1293,0,17
1294,1294,0,36
1295,1295,0,10
1296,1296,0,-41
1297,1297,0,48
1298,1298,0,-31
1299,1299,0,4
1300,1300,0,10
1301,1301,0,-43
1302,1302,0,-21
1303,1303,0,24
1304,1304,0,-14
1305,1305,0,-25
1306,1306,0,16
1307,1307,0,36
1308,1308,0,11
1309,1309,0,22
1310,1310,0,-18
1311,1311,0,30
1312,1312,0,-66
1313,1313,0,-68
1314,1314,0,58
1315,1315,0,-10
1316,1316,0,-19
1317,1317,0,-36
1318,1318,0,58
1319,1319,0,-9
1320,1320,0,-15
1321,1321,0,36
1322,1322,0,10
1323,1323,0,22
1324,1324,0,-20
1325,1325,0,-39
1326,1326,0,-13
1327,1327,0,-26
1328,1328,0,-51
1329,1329,0,29
1330,1330,0,-3
1331,1331,0,-3
1332,1332,0,59
1333,1333,0,56
1334,1334,0,-15
1335,1335,0,-29
1336,1336,0,-57
1337,1337,0,16
1338,1338,0,-29
1339,1339,0,9
1340,1340,0,20
1341,1341,0,41
1342,1342,0,20
1343,1343,0,-22
1344,1344,0,-42
1345,1345,0,-16
1346,1346,0,34
1347,1347,0,7
1348,1348,0,15
1349,1349,0,31
1350,1350,0,-64
1351,1351,0,2
1352,1352,0,-58
1353,1353,0,13
1354,1354,0,28
1355,1355,0,-6
1356,1356,0,-11
1357,1357,0,-19
1358,1358,0,29
1359,1359,0,-3
1360,1360,0,-5
1361,1361,0,55
1362,1362,0,-14
1363,1363,0,-26
1364,1364,0,-51
1365,1365,0,29
1366,1366,0,58
1367,1367,0,-73
1368,1368,0,-16
1369,1369,0,33
1370,1370,0,-61
1371,1371,0,73
1372,1372,0,-45
1373,1373,0,-24
1374,1374,0,20
1375,1375,0,43
1376,1376,0,-39
1377,1377,0,53
1378,1378,0,44
1379,1379,0,-38
1380,1380,0,-8
1381,1381,0,-14
1382,1382,0,-25
1383,1383,0,16
1384,1384,0,34
1385,1385,0,-57
1386,1386,0,16
1387,1387,0,-31
1388,1388,0,4
1389,1389,0,12
1390,1390,0,-37
1391,1391,0,-9
1392,1392,0,49
1393,1393,0,37
1394,1394,0,-52
1395,1395,0,-38
1396,1396,0,53
1397,1397,0,-21
1398,1398,0,-38
1399,1399,0,-10
1400,1400,0,-18
1401,1401,0,31
1402,1402,0,64
1403,1403,0,-63
1404,1404,0,5
1405,1405,0,11
1406,1406,0,-41
1407,1407,0,-17
1408,1408,0,32
1409,1409,0,-62
1410,1410,0,8
1411,1411,0,18
1412,1412,0,37
1413,1413,0,12
1414,1414,0,24
1415,1415,0,-79
1416,1416,0,-27
1417,1417,0,12
1418,1418,0,-39
1419,1419,0,51
1420,1420,0,39
1421,1421,0,-47
1422,1422,0,-28
1423,1423,0,10
1424,1424,0,23
1425,1425,0,47
1426,1426,0,-32
1427,1427,0,3
1428,1428,0,7
1429,1429,0,-49
1430,1430,0,31
1431,1431,0,1
1432,1432,0,-59
1433,1433,0,10
1434,1434,0,21
1435,1435,0,46
1436,1436,0,-35
1437,1437,0,-69
1438,1438,0,55
1439,1439,0,48
1440,1440,0,-93
1441,1441,0,8
1442,1442,0,19
1443,1443,0,38
1444,1444,0,15
1445,1445,0,-31
1446,1446,0,4
1447,1447,0,-54
1448,1448,0,87
1449,1449,0,-16
1450,1450,0,-30
1451,1451,0,6
1452,1452,0,14
1453,1453,0,-36
1454,1454,0,-7
1455,1455,0,-13
1456,1456,0,-23
1457,1457,0,-44
1458,1458,0,41
1459,1459,0,21
1460,1460,0,45
1461,1461,0,-36
1462,1462,0,-6
1463,1463,0,53
1464,1464,0,-19
1465,1465,0,-35
1466,1466,0,-5
1467,1467,0,-10
1468,1468,0,47
1469,1469,0,-32
1470,1470,0,-64
1471,1471,0,4
1472,1472,0,75
1473,1473,0,-39
1474,1474,0,-14
1475,1475,0,100
1476,1476,0,-54
1477,1477,0,-42
1478,1478,0,-83
1479,1479,0,27
1480,1480,0,57
1481,1481,0,-12
1482,1482,0,-23
1483,1483,0,21
1484,1484,0,45
1485,1485,0,-34
1486,1486,0,-2
1487,1487,0,62
1488,1488,0,-2
1489,1489,0,-2
1490,1490,0,-64
1491,1491,0,1
1492,1492,0,4
1493,1493,0,10
1494,1494,0,23
1495,1495,0,-79
1496,1496,0,36
1497,1497,0,11
1498,1498,0,22
1499,1499,0,-18
1500,1500,0,-34
1501,1501,0,-3
1502,1502,0,-66
1503,1503,0,62
1504,1504,0,-2
1505,1505,0,0
1506,1506,0,65
1507,1507,0,-59
1508,1508,0,13
1509,1509,0,27
1510,1510,0,-72
